id,city,country,district
1,Kathmandu,Nepal,Kathmandu
2,Sunsari,Nepal,Sunsari
3,Parsantaj Miya,Nepal,Parsa
4,Dang,Nepal,Dang
5,Baneshwor,Nepal,Kathmandu
6,Chucheepati,Nepal,Kathmadu
7,Bansbari,Nepal,Kathmandu
8,Pokhara,Nepal,Kaski
10,Lalitpur,Nepal,Lalitpur
11,Jhapa,Nepal,Jhapa
12,New Baneshwor,Nepal,Kathmandu
13,Banke,Nepal,Banke
14,Rupandehi,Nepal,Rupandehi
15,Ranibari Marg,Nepal,Kathmandu
16,Dhanusha,Nepal,Dhanusha
17,Kaski,Nepal,Kaski
18,Jwagal,Nepal,Lalitpur
19,Butwal,Nepal,Rupandehi
21,Maharajgunj,Nepal,Kathmandu
22,Ring Road,Nepal,Kathmandu
24,Itahari,Nepal,Sunsari
26,Newbuspark,Nepal,Kathmandu
27,Mitranagar,Nepal,Unknown
28,Lalitpur,Nepal,Lalitpur
29,Chitawan,Nepal,Chitawan
30,Biratnagar,Nepal,Morang
31,Morang,Nepal,Morang
32,Dhapasi,Nepal,Kathmandu
33,Anarmani- Jhapa,Nepal,Jhapa
34,Kailali,Nepal,Kailali
